Date,Scan ID,Release Version,Observation Day,Date Opened,Symbol,Entry Price,Current Price,Unrealized Return %,HC Flag (Entry),Score (Entry)
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-09,MARSONS,123.67,123.67,0.0,0,68
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-09,AHCL,15.18,15.18,0.0,0,65
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-09,SHANTIGOLD,218.17,218.17,0.0,0,65
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-09,VGL,73.39,73.39,0.0,0,67
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-09,UNIPARTS,640.5,640.5,0.0,0,67
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-11,AARVI,135.92,135.92,0.0,1,66
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-11,POLYCAB,9523.5,9372.0,-1.59,1,55
2026-06-12,scan_manual_1781204781_605845,R1.0,5,2026-06-11,VISAKAIND,75.15,75.15,0.0,1,55
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-09,UNIPARTS,640.5,640.5,0.0,0,67
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-09,VGL,73.39,73.39,0.0,0,67
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-09,MARSONS,123.67,123.67,0.0,0,68
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-09,SHANTIGOLD,218.17,218.17,0.0,0,65
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-09,AHCL,15.18,15.18,0.0,0,65
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-11,VISAKAIND,75.15,75.15,0.0,1,55
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-11,AARVI,135.92,135.92,0.0,1,66
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-11,POLYCAB,9523.5,9372.0,-1.59,1,55
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-12,NEULANDLAB,16973.0,16973.0,0.0,1,57
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-12,LUPIN,2276.3,2273.3,-0.13,0,67
2026-06-12,scan_manual_1781243071_13db15,R1.0,5,2026-06-12,3MINDIA,31565.0,31165.0,-1.27,0,65
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-09,UNIPARTS,640.5,640.5,0.0,0,67
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-09,VGL,73.39,73.39,0.0,0,67
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-09,MARSONS,123.67,123.67,0.0,0,68
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-09,SHANTIGOLD,218.17,218.17,0.0,0,65
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-09,AHCL,15.18,15.18,0.0,0,65
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-11,AARVI,135.92,135.92,0.0,1,66
2026-06-12,scan_manual_1781246696_15a996,R1.0,5,2026-06-11,VISAKAIND,75.15,75.15,0.0,1,55
